credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
Yes Reserve 6,shopping_rewards,movie_discounts,2.88,travel,Yes Bank,6690,Yes Reserve 6,credit_card,6690.0,Yes Reserve 6 shopping_rewards movie_discounts travel Yes Bank 2.88 annual fee 6690,discounts premium_fee shopping travel,Yes Reserve 6 shopping_rewards movie_discounts travel Yes Bank 2.88 annual fee 6690 discounts premium_fee shopping travel shopping_rewards movie_discounts travel Yes Bank
Union Privilege 5,travel_points,milestone_rewards,3.07,fuel,Union Bank of India,6507,Union Privilege 5,credit_card,6507.0,Union Privilege 5 travel_points milestone_rewards fuel Union Bank of India 3.07 annual fee 6507,fuel points premium_fee travel,Union Privilege 5 travel_points milestone_rewards fuel Union Bank of India 3.07 annual fee 6507 fuel points premium_fee travel travel_points milestone_rewards fuel Union Bank of India
HDFC Regalia 2,shopping_rewards,priority_checkout,2.74,fuel,HDFC Bank,6849,HDFC Regalia 2,credit_card,6849.0,HDFC Regalia 2 shopping_rewards priority_checkout fuel HDFC Bank 2.74 annual fee 6849,fuel premium_fee shopping,HDFC Regalia 2 shopping_rewards priority_checkout fuel HDFC Bank 2.74 annual fee 6849 fuel premium_fee shopping shopping_rewards priority_checkout fuel HDFC Bank
RBL Silver 4,shopping_rewards,golf_membership,2.49,business,RBL Bank,3728,RBL Silver 4,credit_card,3728.0,RBL Silver 4 shopping_rewards golf_membership business RBL Bank 2.49 annual fee 3728,business premium_fee shopping,RBL Silver 4 shopping_rewards golf_membership business RBL Bank 2.49 annual fee 3728 business premium_fee shopping shopping_rewards golf_membership business RBL Bank
Union Privilege,dining_rewards,concierge_service,4.04,shopping,Union Bank of India,810,Union Privilege,credit_card,810.0,Union Privilege dining_rewards concierge_service shopping Union Bank of India 4.04 annual fee 810,discounts moderate_fee shopping,Union Privilege dining_rewards concierge_service shopping Union Bank of India 4.04 annual fee 810 discounts moderate_fee shopping dining_rewards concierge_service shopping Union Bank of India
Airtel Platinum 1,travel_points,priority_checkout,3.17,online_spends,Airtel Payments Bank,6677,Airtel Platinum 1,credit_card,6677.0,Airtel Platinum 1 travel_points priority_checkout online_spends Airtel Payments Bank 3.17 annual fee 6677,points premium premium_fee shopping travel,Airtel Platinum 1 travel_points priority_checkout online_spends Airtel Payments Bank 3.17 annual fee 6677 points premium premium_fee shopping travel travel_points priority_checkout online_spends Airtel Payments Bank
Kotak Business,shopping_rewards,concierge_service,1.93,dining,Kotak Mahindra,2570,Kotak Business,credit_card,2570.0,Kotak Business shopping_rewards concierge_service dining Kotak Mahindra 1.93 annual fee 2570,business discounts premium_fee shopping,Kotak Business shopping_rewards concierge_service dining Kotak Mahindra 1.93 annual fee 2570 business discounts premium_fee shopping shopping_rewards concierge_service dining Kotak Mahindra
Canara Travel 2,shopping_rewards,golf_membership,3.43,dining,Canara Bank,4350,Canara Travel 2,credit_card,4350.0,Canara Travel 2 shopping_rewards golf_membership dining Canara Bank 3.43 annual fee 4350,discounts premium_fee shopping travel,Canara Travel 2 shopping_rewards golf_membership dining Canara Bank 3.43 annual fee 4350 discounts premium_fee shopping travel shopping_rewards golf_membership dining Canara Bank
Kotak Rewards 2,cashback,golf_membership,1.48,shopping,Kotak Mahindra,1625,Kotak Rewards 2,credit_card,1625.0,Kotak Rewards 2 cashback golf_membership shopping Kotak Mahindra 1.48 annual fee 1625,cashback premium_fee shopping,Kotak Rewards 2 cashback golf_membership shopping Kotak Mahindra 1.48 annual fee 1625 cashback premium_fee shopping cashback golf_membership shopping Kotak Mahindra
IndusInd Momentum,dining_rewards,airport_lounge_access,3.02,travel,IndusInd Bank,7083,IndusInd Momentum,credit_card,7083.0,IndusInd Momentum dining_rewards airport_lounge_access travel IndusInd Bank 3.02 annual fee 7083,discounts premium premium_fee travel,IndusInd Momentum dining_rewards airport_lounge_access travel IndusInd Bank 3.02 annual fee 7083 discounts premium premium_fee travel dining_rewards airport_lounge_access travel IndusInd Bank
Federal Timeline 1,fuel_rewards,welcome_bonus,3.61,travel,Federal Bank,6730,Federal Timeline 1,credit_card,6730.0,Federal Timeline 1 fuel_rewards welcome_bonus travel Federal Bank 3.61 annual fee 6730,fuel premium_fee travel,Federal Timeline 1 fuel_rewards welcome_bonus travel Federal Bank 3.61 annual fee 6730 fuel premium_fee travel fuel_rewards welcome_bonus travel Federal Bank
IndusInd Digital,dining_rewards,milestone_rewards,4.32,shopping,IndusInd Bank,4678,IndusInd Digital,credit_card,4678.0,IndusInd Digital dining_rewards milestone_rewards shopping IndusInd Bank 4.32 annual fee 4678,discounts premium_fee shopping travel,IndusInd Digital dining_rewards milestone_rewards shopping IndusInd Bank 4.32 annual fee 4678 discounts premium_fee shopping travel dining_rewards milestone_rewards shopping IndusInd Bank
Canara Business 2,dining_rewards,dining_discounts,4.16,shopping,Canara Bank,2208,Canara Business 2,credit_card,2208.0,Canara Business 2 dining_rewards dining_discounts shopping Canara Bank 4.16 annual fee 2208,business discounts premium_fee shopping,Canara Business 2 dining_rewards dining_discounts shopping Canara Bank 4.16 annual fee 2208 business discounts premium_fee shopping dining_rewards dining_discounts shopping Canara Bank
RBL Platinum,dining_rewards,concierge_service,3.09,shopping,RBL Bank,3121,RBL Platinum,credit_card,3121.0,RBL Platinum dining_rewards concierge_service shopping RBL Bank 3.09 annual fee 3121,discounts premium premium_fee shopping,RBL Platinum dining_rewards concierge_service shopping RBL Bank 3.09 annual fee 3121 discounts premium premium_fee shopping dining_rewards concierge_service shopping RBL Bank
Canara Business,travel_points,grocery_cashback,4.73,travel,Canara Bank,6908,Canara Business,credit_card,6908.0,Canara Business travel_points grocery_cashback travel Canara Bank 4.73 annual fee 6908,business cashback points premium_fee travel,Canara Business travel_points grocery_cashback travel Canara Bank 4.73 annual fee 6908 business cashback points premium_fee travel travel_points grocery_cashback travel Canara Bank
RBL Gold 1,shopping_rewards,fuel_surcharge_waiver,3.31,fuel,RBL Bank,594,RBL Gold 1,credit_card,594.0,RBL Gold 1 shopping_rewards fuel_surcharge_waiver fuel RBL Bank 3.31 annual fee 594,fuel moderate_fee premium shopping,RBL Gold 1 shopping_rewards fuel_surcharge_waiver fuel RBL Bank 3.31 annual fee 594 fuel moderate_fee premium shopping shopping_rewards fuel_surcharge_waiver fuel RBL Bank
Union Gold,premium_points,fuel_surcharge_waiver,5.41,online_spends,Union Bank of India,6888,Union Gold,credit_card,6888.0,Union Gold premium_points fuel_surcharge_waiver online_spends Union Bank of India 5.41 annual fee 6888,fuel points premium premium_fee shopping,Union Gold premium_points fuel_surcharge_waiver online_spends Union Bank of India 5.41 annual fee 6888 fuel points premium premium_fee shopping premium_points fuel_surcharge_waiver online_spends Union Bank of India
SBI Elite 1,premium_points,business_expenses,3.57,business,SBI,5854,SBI Elite 1,credit_card,5854.0,SBI Elite 1 premium_points business_expenses business SBI 3.57 annual fee 5854,business points premium premium_fee,SBI Elite 1 premium_points business_expenses business SBI 3.57 annual fee 5854 business points premium premium_fee premium_points business_expenses business SBI
Kotak Emerald 2,travel_points,golf_membership,3.41,dining,Kotak Mahindra,4607,Kotak Emerald 2,credit_card,4607.0,Kotak Emerald 2 travel_points golf_membership dining Kotak Mahindra 3.41 annual fee 4607,discounts points premium_fee travel,Kotak Emerald 2 travel_points golf_membership dining Kotak Mahindra 3.41 annual fee 4607 discounts points premium_fee travel travel_points golf_membership dining Kotak Mahindra
Union Privilege 7,cashback,international_travel,1.84,shopping,Union Bank of India,1290,Union Privilege 7,credit_card,1290.0,Union Privilege 7 cashback international_travel shopping Union Bank of India 1.84 annual fee 1290,cashback premium_fee shopping travel,Union Privilege 7 cashback international_travel shopping Union Bank of India 1.84 annual fee 1290 cashback premium_fee shopping travel cashback international_travel shopping Union Bank of India
ICICI Air,shopping_rewards,concierge_service,2.54,fuel,ICICI Bank,2163,ICICI Air,credit_card,2163.0,ICICI Air shopping_rewards concierge_service fuel ICICI Bank 2.54 annual fee 2163,fuel premium_fee shopping,ICICI Air shopping_rewards concierge_service fuel ICICI Bank 2.54 annual fee 2163 fuel premium_fee shopping shopping_rewards concierge_service fuel ICICI Bank
Canara Premium 1,cashback,online_cashback,0.81,business,Canara Bank,914,Canara Premium 1,credit_card,914.0,Canara Premium 1 cashback online_cashback business Canara Bank 0.81 annual fee 914,business cashback moderate_fee premium shopping,Canara Premium 1 cashback online_cashback business Canara Bank 0.81 annual fee 914 business cashback moderate_fee premium shopping cashback online_cashback business Canara Bank
Yes Reserve,shopping_rewards,insurance_coverage,3.87,luxury,Yes Bank,2656,Yes Reserve,credit_card,2656.0,Yes Reserve shopping_rewards insurance_coverage luxury Yes Bank 3.87 annual fee 2656,premium_fee shopping,Yes Reserve shopping_rewards insurance_coverage luxury Yes Bank 3.87 annual fee 2656 premium_fee shopping shopping_rewards insurance_coverage luxury Yes Bank
RBL Silver 2,premium_points,golf_membership,5.6,online_spends,RBL Bank,8484,RBL Silver 2,credit_card,8484.0,RBL Silver 2 premium_points golf_membership online_spends RBL Bank 5.6 annual fee 8484,points premium premium_fee shopping,RBL Silver 2 premium_points golf_membership online_spends RBL Bank 5.6 annual fee 8484 points premium premium_fee shopping premium_points golf_membership online_spends RBL Bank
IndusInd Momentum 1,premium_points,online_cashback,4.82,luxury,IndusInd Bank,7359,IndusInd Momentum 1,credit_card,7359.0,IndusInd Momentum 1 premium_points online_cashback luxury IndusInd Bank 4.82 annual fee 7359,cashback points premium premium_fee shopping,IndusInd Momentum 1 premium_points online_cashback luxury IndusInd Bank 4.82 annual fee 7359 cashback points premium premium_fee shopping premium_points online_cashback luxury IndusInd Bank
HDFC Regalia,dining_rewards,grocery_cashback,2.96,dining,HDFC Bank,3592,HDFC Regalia,credit_card,3592.0,HDFC Regalia dining_rewards grocery_cashback dining HDFC Bank 2.96 annual fee 3592,cashback discounts premium_fee,HDFC Regalia dining_rewards grocery_cashback dining HDFC Bank 2.96 annual fee 3592 cashback discounts premium_fee dining_rewards grocery_cashback dining HDFC Bank
Axis Urban Plus 1,cashback,airport_lounge_access,1.53,shopping,Axis Bank,7229,Axis Urban Plus 1,credit_card,7229.0,Axis Urban Plus 1 cashback airport_lounge_access shopping Axis Bank 1.53 annual fee 7229,cashback premium premium_fee shopping,Axis Urban Plus 1 cashback airport_lounge_access shopping Axis Bank 1.53 annual fee 7229 cashback premium premium_fee shopping cashback airport_lounge_access shopping Axis Bank
RBL Silver,premium_points,concierge_service,3.65,luxury,RBL Bank,4104,RBL Silver,credit_card,4104.0,RBL Silver premium_points concierge_service luxury RBL Bank 3.65 annual fee 4104,points premium premium_fee,RBL Silver premium_points concierge_service luxury RBL Bank 3.65 annual fee 4104 points premium premium_fee premium_points concierge_service luxury RBL Bank
SBI Elite,fuel_rewards,insurance_coverage,3.63,groceries,SBI,660,SBI Elite,credit_card,660.0,SBI Elite fuel_rewards insurance_coverage groceries SBI 3.63 annual fee 660,fuel moderate_fee,SBI Elite fuel_rewards insurance_coverage groceries SBI 3.63 annual fee 660 fuel moderate_fee fuel_rewards insurance_coverage groceries SBI
ICICI Bank Platinum,dining_rewards,airport_lounge_access,3.36,fuel,ICICI Bank,8257,ICICI Bank Platinum,credit_card,8257.0,ICICI Bank Platinum dining_rewards airport_lounge_access fuel ICICI Bank 3.36 annual fee 8257,discounts fuel premium premium_fee,ICICI Bank Platinum dining_rewards airport_lounge_access fuel ICICI Bank 3.36 annual fee 8257 discounts fuel premium premium_fee dining_rewards airport_lounge_access fuel ICICI Bank
Union Privilege 3,cashback,welcome_bonus,1.52,fuel,Union Bank of India,2041,Union Privilege 3,credit_card,2041.0,Union Privilege 3 cashback welcome_bonus fuel Union Bank of India 1.52 annual fee 2041,cashback fuel premium_fee,Union Privilege 3 cashback welcome_bonus fuel Union Bank of India 1.52 annual fee 2041 cashback fuel premium_fee cashback welcome_bonus fuel Union Bank of India
Canara Travel 1,shopping_rewards,priority_checkout,2.34,shopping,Canara Bank,5302,Canara Travel 1,credit_card,5302.0,Canara Travel 1 shopping_rewards priority_checkout shopping Canara Bank 2.34 annual fee 5302,premium_fee shopping travel,Canara Travel 1 shopping_rewards priority_checkout shopping Canara Bank 2.34 annual fee 5302 premium_fee shopping travel shopping_rewards priority_checkout shopping Canara Bank
BOB Business,fuel_rewards,accelerated_rewards,4.12,dining,Bank of Baroda,6622,BOB Business,credit_card,6622.0,BOB Business fuel_rewards accelerated_rewards dining Bank of Baroda 4.12 annual fee 6622,business discounts fuel premium_fee,BOB Business fuel_rewards accelerated_rewards dining Bank of Baroda 4.12 annual fee 6622 business discounts fuel premium_fee fuel_rewards accelerated_rewards dining Bank of Baroda
Union Smart,fuel_rewards,concierge_service,3.9,travel,Union Bank of India,6859,Union Smart,credit_card,6859.0,Union Smart fuel_rewards concierge_service travel Union Bank of India 3.9 annual fee 6859,fuel premium_fee travel,Union Smart fuel_rewards concierge_service travel Union Bank of India 3.9 annual fee 6859 fuel premium_fee travel fuel_rewards concierge_service travel Union Bank of India
Axis MyDining 1,fuel_rewards,priority_checkout,3.99,fuel,Axis Bank,4175,Axis MyDining 1,credit_card,4175.0,Axis MyDining 1 fuel_rewards priority_checkout fuel Axis Bank 3.99 annual fee 4175,discounts fuel premium_fee,Axis MyDining 1 fuel_rewards priority_checkout fuel Axis Bank 3.99 annual fee 4175 discounts fuel premium_fee fuel_rewards priority_checkout fuel Axis Bank
Airtel Gold 2,fuel_rewards,concierge_service,2.22,luxury,Airtel Payments Bank,4235,Airtel Gold 2,credit_card,4235.0,Airtel Gold 2 fuel_rewards concierge_service luxury Airtel Payments Bank 2.22 annual fee 4235,fuel premium premium_fee,Airtel Gold 2 fuel_rewards concierge_service luxury Airtel Payments Bank 2.22 annual fee 4235 fuel premium premium_fee fuel_rewards concierge_service luxury Airtel Payments Bank
SBI Cashback 5,fuel_rewards,airport_lounge_access,3.92,groceries,SBI,3743,SBI Cashback 5,credit_card,3743.0,SBI Cashback 5 fuel_rewards airport_lounge_access groceries SBI 3.92 annual fee 3743,cashback fuel premium premium_fee,SBI Cashback 5 fuel_rewards airport_lounge_access groceries SBI 3.92 annual fee 3743 cashback fuel premium premium_fee fuel_rewards airport_lounge_access groceries SBI
BOB Plus 2,dining_rewards,concierge_service,3.69,groceries,Bank of Baroda,1434,BOB Plus 2,credit_card,1434.0,BOB Plus 2 dining_rewards concierge_service groceries Bank of Baroda 3.69 annual fee 1434,discounts premium_fee,BOB Plus 2 dining_rewards concierge_service groceries Bank of Baroda 3.69 annual fee 1434 discounts premium_fee dining_rewards concierge_service groceries Bank of Baroda
BOB Plus,travel_points,airport_lounge_access,4.18,luxury,Bank of Baroda,8413,BOB Plus,credit_card,8413.0,BOB Plus travel_points airport_lounge_access luxury Bank of Baroda 4.18 annual fee 8413,points premium premium_fee travel,BOB Plus travel_points airport_lounge_access luxury Bank of Baroda 4.18 annual fee 8413 points premium premium_fee travel travel_points airport_lounge_access luxury Bank of Baroda
Yes Elite 3,cashback,movie_discounts,1.39,online_spends,Yes Bank,1810,Yes Elite 3,credit_card,1810.0,Yes Elite 3 cashback movie_discounts online_spends Yes Bank 1.39 annual fee 1810,cashback discounts premium_fee shopping,Yes Elite 3 cashback movie_discounts online_spends Yes Bank 1.39 annual fee 1810 cashback discounts premium_fee shopping cashback movie_discounts online_spends Yes Bank
HDFC EZY Dining 1,premium_points,business_expenses,4.19,dining,HDFC Bank,7298,HDFC EZY Dining 1,credit_card,7298.0,HDFC EZY Dining 1 premium_points business_expenses dining HDFC Bank 4.19 annual fee 7298,business discounts points premium premium_fee,HDFC EZY Dining 1 premium_points business_expenses dining HDFC Bank 4.19 annual fee 7298 business discounts points premium premium_fee premium_points business_expenses dining HDFC Bank
Axis Flipkart,dining_rewards,dining_discounts,2.7,travel,Axis Bank,4631,Axis Flipkart,credit_card,4631.0,Axis Flipkart dining_rewards dining_discounts travel Axis Bank 2.7 annual fee 4631,discounts premium_fee travel,Axis Flipkart dining_rewards dining_discounts travel Axis Bank 2.7 annual fee 4631 discounts premium_fee travel dining_rewards dining_discounts travel Axis Bank
Kotak Business 3,cashback,concierge_service,0.86,travel,Kotak Mahindra,2109,Kotak Business 3,credit_card,2109.0,Kotak Business 3 cashback concierge_service travel Kotak Mahindra 0.86 annual fee 2109,business cashback premium_fee travel,Kotak Business 3 cashback concierge_service travel Kotak Mahindra 0.86 annual fee 2109 business cashback premium_fee travel cashback concierge_service travel Kotak Mahindra
Federal Plus,dining_rewards,airport_lounge_access,4.79,dining,Federal Bank,6658,Federal Plus,credit_card,6658.0,Federal Plus dining_rewards airport_lounge_access dining Federal Bank 4.79 annual fee 6658,discounts premium premium_fee,Federal Plus dining_rewards airport_lounge_access dining Federal Bank 4.79 annual fee 6658 discounts premium premium_fee dining_rewards airport_lounge_access dining Federal Bank
IndusInd Pinnacle 2,dining_rewards,business_expenses,5.0,fuel,IndusInd Bank,3960,IndusInd Pinnacle 2,credit_card,3960.0,IndusInd Pinnacle 2 dining_rewards business_expenses fuel IndusInd Bank 5.0 annual fee 3960,business discounts fuel premium_fee,IndusInd Pinnacle 2 dining_rewards business_expenses fuel IndusInd Bank 5.0 annual fee 3960 business discounts fuel premium_fee dining_rewards business_expenses fuel IndusInd Bank
ICICI FBB,fuel_rewards,welcome_bonus,3.74,shopping,ICICI Bank,3229,ICICI FBB,credit_card,3229.0,ICICI FBB fuel_rewards welcome_bonus shopping ICICI Bank 3.74 annual fee 3229,fuel premium_fee shopping,ICICI FBB fuel_rewards welcome_bonus shopping ICICI Bank 3.74 annual fee 3229 fuel premium_fee shopping fuel_rewards welcome_bonus shopping ICICI Bank
Union Privilege 10,dining_rewards,fuel_surcharge_waiver,4.34,business,Union Bank of India,1474,Union Privilege 10,credit_card,1474.0,Union Privilege 10 dining_rewards fuel_surcharge_waiver business Union Bank of India 4.34 annual fee 1474,business discounts fuel premium_fee,Union Privilege 10 dining_rewards fuel_surcharge_waiver business Union Bank of India 4.34 annual fee 1474 business discounts fuel premium_fee dining_rewards fuel_surcharge_waiver business Union Bank of India
Canara Privilege 1,premium_points,airport_lounge_access,5.12,shopping,Canara Bank,9825,Canara Privilege 1,credit_card,9825.0,Canara Privilege 1 premium_points airport_lounge_access shopping Canara Bank 5.12 annual fee 9825,points premium premium_fee shopping,Canara Privilege 1 premium_points airport_lounge_access shopping Canara Bank 5.12 annual fee 9825 points premium premium_fee shopping premium_points airport_lounge_access shopping Canara Bank
SBI Business 3,cashback,golf_membership,0.79,business,SBI,658,SBI Business 3,credit_card,658.0,SBI Business 3 cashback golf_membership business SBI 0.79 annual fee 658,business cashback moderate_fee,SBI Business 3 cashback golf_membership business SBI 0.79 annual fee 658 business cashback moderate_fee cashback golf_membership business SBI
Axis Privilege 2,shopping_rewards,concierge_service,3.12,business,Axis Bank,3201,Axis Privilege 2,credit_card,3201.0,Axis Privilege 2 shopping_rewards concierge_service business Axis Bank 3.12 annual fee 3201,business premium_fee shopping,Axis Privilege 2 shopping_rewards concierge_service business Axis Bank 3.12 annual fee 3201 business premium_fee shopping shopping_rewards concierge_service business Axis Bank
Kotak League 1,dining_rewards,milestone_rewards,3.69,shopping,Kotak Mahindra,2979,Kotak League 1,credit_card,2979.0,Kotak League 1 dining_rewards milestone_rewards shopping Kotak Mahindra 3.69 annual fee 2979,discounts premium_fee shopping travel,Kotak League 1 dining_rewards milestone_rewards shopping Kotak Mahindra 3.69 annual fee 2979 discounts premium_fee shopping travel dining_rewards milestone_rewards shopping Kotak Mahindra
Canara Gold 1,travel_points,accelerated_rewards,3.33,travel,Canara Bank,3366,Canara Gold 1,credit_card,3366.0,Canara Gold 1 travel_points accelerated_rewards travel Canara Bank 3.33 annual fee 3366,points premium premium_fee travel,Canara Gold 1 travel_points accelerated_rewards travel Canara Bank 3.33 annual fee 3366 points premium premium_fee travel travel_points accelerated_rewards travel Canara Bank
SBI Prime 1,cashback,online_cashback,0.92,business,SBI,2255,SBI Prime 1,credit_card,2255.0,SBI Prime 1 cashback online_cashback business SBI 0.92 annual fee 2255,business cashback premium_fee shopping,SBI Prime 1 cashback online_cashback business SBI 0.92 annual fee 2255 business cashback premium_fee shopping cashback online_cashback business SBI
Airtel Platinum 2,shopping_rewards,business_expenses,3.99,shopping,Airtel Payments Bank,967,Airtel Platinum 2,credit_card,967.0,Airtel Platinum 2 shopping_rewards business_expenses shopping Airtel Payments Bank 3.99 annual fee 967,business moderate_fee premium shopping,Airtel Platinum 2 shopping_rewards business_expenses shopping Airtel Payments Bank 3.99 annual fee 967 business moderate_fee premium shopping shopping_rewards business_expenses shopping Airtel Payments Bank
Kotak Emerald 3,fuel_rewards,movie_discounts,4.48,shopping,Kotak Mahindra,5604,Kotak Emerald 3,credit_card,5604.0,Kotak Emerald 3 fuel_rewards movie_discounts shopping Kotak Mahindra 4.48 annual fee 5604,discounts fuel premium_fee shopping,Kotak Emerald 3 fuel_rewards movie_discounts shopping Kotak Mahindra 4.48 annual fee 5604 discounts fuel premium_fee shopping fuel_rewards movie_discounts shopping Kotak Mahindra
Yes Reserve 1,travel_points,concierge_service,4.95,luxury,Yes Bank,7229,Yes Reserve 1,credit_card,7229.0,Yes Reserve 1 travel_points concierge_service luxury Yes Bank 4.95 annual fee 7229,points premium_fee travel,Yes Reserve 1 travel_points concierge_service luxury Yes Bank 4.95 annual fee 7229 points premium_fee travel travel_points concierge_service luxury Yes Bank
ICICI Pockets 2,cashback,fuel_surcharge_waiver,0.9,shopping,ICICI Bank,2267,ICICI Pockets 2,credit_card,2267.0,ICICI Pockets 2 cashback fuel_surcharge_waiver shopping ICICI Bank 0.9 annual fee 2267,cashback fuel premium_fee shopping,ICICI Pockets 2 cashback fuel_surcharge_waiver shopping ICICI Bank 0.9 annual fee 2267 cashback fuel premium_fee shopping cashback fuel_surcharge_waiver shopping ICICI Bank
BOB Elite 1,premium_points,grocery_cashback,4.55,travel,Bank of Baroda,9109,BOB Elite 1,credit_card,9109.0,BOB Elite 1 premium_points grocery_cashback travel Bank of Baroda 4.55 annual fee 9109,cashback points premium premium_fee travel,BOB Elite 1 premium_points grocery_cashback travel Bank of Baroda 4.55 annual fee 9109 cashback points premium premium_fee travel premium_points grocery_cashback travel Bank of Baroda
RBL SuperCard 1,dining_rewards,concierge_service,3.0,fuel,RBL Bank,5320,RBL SuperCard 1,credit_card,5320.0,RBL SuperCard 1 dining_rewards concierge_service fuel RBL Bank 3.0 annual fee 5320,discounts fuel premium_fee,RBL SuperCard 1 dining_rewards concierge_service fuel RBL Bank 3.0 annual fee 5320 discounts fuel premium_fee dining_rewards concierge_service fuel RBL Bank
HDFC TimesPoints,shopping_rewards,online_cashback,1.86,online_spends,HDFC Bank,1269,HDFC TimesPoints,credit_card,1269.0,HDFC TimesPoints shopping_rewards online_cashback online_spends HDFC Bank 1.86 annual fee 1269,cashback points premium_fee shopping,HDFC TimesPoints shopping_rewards online_cashback online_spends HDFC Bank 1.86 annual fee 1269 cashback points premium_fee shopping shopping_rewards online_cashback online_spends HDFC Bank
Canara Privilege 2,travel_points,fuel_surcharge_waiver,4.8,luxury,Canara Bank,3304,Canara Privilege 2,credit_card,3304.0,Canara Privilege 2 travel_points fuel_surcharge_waiver luxury Canara Bank 4.8 annual fee 3304,fuel points premium_fee travel,Canara Privilege 2 travel_points fuel_surcharge_waiver luxury Canara Bank 4.8 annual fee 3304 fuel points premium_fee travel travel_points fuel_surcharge_waiver luxury Canara Bank
Kotak League 2,travel_points,airport_lounge_access,4.15,travel,Kotak Mahindra,7552,Kotak League 2,credit_card,7552.0,Kotak League 2 travel_points airport_lounge_access travel Kotak Mahindra 4.15 annual fee 7552,points premium premium_fee travel,Kotak League 2 travel_points airport_lounge_access travel Kotak Mahindra 4.15 annual fee 7552 points premium premium_fee travel travel_points airport_lounge_access travel Kotak Mahindra
IDFC FIRST Wealth,shopping_rewards,international_travel,1.67,shopping,IDFC First Bank,6696,IDFC FIRST Wealth,credit_card,6696.0,IDFC FIRST Wealth shopping_rewards international_travel shopping IDFC First Bank 1.67 annual fee 6696,premium_fee shopping travel,IDFC FIRST Wealth shopping_rewards international_travel shopping IDFC First Bank 1.67 annual fee 6696 premium_fee shopping travel shopping_rewards international_travel shopping IDFC First Bank
SBI Prime,premium_points,dining_discounts,4.78,groceries,SBI,8787,SBI Prime,credit_card,8787.0,SBI Prime premium_points dining_discounts groceries SBI 4.78 annual fee 8787,discounts points premium premium_fee,SBI Prime premium_points dining_discounts groceries SBI 4.78 annual fee 8787 discounts points premium premium_fee premium_points dining_discounts groceries SBI
Airtel Gold 1,dining_rewards,dining_discounts,2.88,business,Airtel Payments Bank,3063,Airtel Gold 1,credit_card,3063.0,Airtel Gold 1 dining_rewards dining_discounts business Airtel Payments Bank 2.88 annual fee 3063,business discounts premium premium_fee,Airtel Gold 1 dining_rewards dining_discounts business Airtel Payments Bank 2.88 annual fee 3063 business discounts premium premium_fee dining_rewards dining_discounts business Airtel Payments Bank
Axis Privilege 1,dining_rewards,international_travel,3.57,luxury,Axis Bank,3670,Axis Privilege 1,credit_card,3670.0,Axis Privilege 1 dining_rewards international_travel luxury Axis Bank 3.57 annual fee 3670,discounts premium_fee travel,Axis Privilege 1 dining_rewards international_travel luxury Axis Bank 3.57 annual fee 3670 discounts premium_fee travel dining_rewards international_travel luxury Axis Bank
Union Privilege 6,fuel_rewards,airport_lounge_access,3.49,dining,Union Bank of India,4414,Union Privilege 6,credit_card,4414.0,Union Privilege 6 fuel_rewards airport_lounge_access dining Union Bank of India 3.49 annual fee 4414,discounts fuel premium premium_fee,Union Privilege 6 fuel_rewards airport_lounge_access dining Union Bank of India 3.49 annual fee 4414 discounts fuel premium premium_fee fuel_rewards airport_lounge_access dining Union Bank of India
RBL Silver 3,shopping_rewards,golf_membership,3.49,travel,RBL Bank,2535,RBL Silver 3,credit_card,2535.0,RBL Silver 3 shopping_rewards golf_membership travel RBL Bank 3.49 annual fee 2535,premium_fee shopping travel,RBL Silver 3 shopping_rewards golf_membership travel RBL Bank 3.49 annual fee 2535 premium_fee shopping travel shopping_rewards golf_membership travel RBL Bank
IDFC FIRST Business 3,travel_points,concierge_service,4.49,fuel,IDFC First Bank,5931,IDFC FIRST Business 3,credit_card,5931.0,IDFC FIRST Business 3 travel_points concierge_service fuel IDFC First Bank 4.49 annual fee 5931,business fuel points premium_fee travel,IDFC FIRST Business 3 travel_points concierge_service fuel IDFC First Bank 4.49 annual fee 5931 business fuel points premium_fee travel travel_points concierge_service fuel IDFC First Bank
Yes Reserve 5,dining_rewards,international_travel,2.61,fuel,Yes Bank,3311,Yes Reserve 5,credit_card,3311.0,Yes Reserve 5 dining_rewards international_travel fuel Yes Bank 2.61 annual fee 3311,discounts fuel premium_fee travel,Yes Reserve 5 dining_rewards international_travel fuel Yes Bank 2.61 annual fee 3311 discounts fuel premium_fee travel dining_rewards international_travel fuel Yes Bank
BOB Travel,cashback,international_travel,1.66,travel,Bank of Baroda,2760,BOB Travel,credit_card,2760.0,BOB Travel cashback international_travel travel Bank of Baroda 1.66 annual fee 2760,cashback premium_fee travel,BOB Travel cashback international_travel travel Bank of Baroda 1.66 annual fee 2760 cashback premium_fee travel cashback international_travel travel Bank of Baroda
IndusInd Pinnacle 3,dining_rewards,concierge_service,3.63,travel,IndusInd Bank,4646,IndusInd Pinnacle 3,credit_card,4646.0,IndusInd Pinnacle 3 dining_rewards concierge_service travel IndusInd Bank 3.63 annual fee 4646,discounts premium_fee travel,IndusInd Pinnacle 3 dining_rewards concierge_service travel IndusInd Bank 3.63 annual fee 4646 discounts premium_fee travel dining_rewards concierge_service travel IndusInd Bank
